@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
0.565157,-0.000000,0.00
0.547829,-0.000000,0.00
0.555023,-0.000000,1.00
0.544662,-0.000000,0.00
0.555755,-0.000000,0.00
0.990212,-0.000000,1.00
0.993178,-0.000000,0.00
0.815733,-0.000000,0.00
0.870713,-0.000000,0.00
0.742507,-0.000000,0.00
0.739147,-0.000000,0.00
0.738142,-0.000000,0.00
0.867532,-0.000000,0.00
0.842814,-0.000000,0.00
0.728899,-0.000000,0.00
0.785773,-0.000000,1.00
0.733019,-0.000000,0.00
0.796633,-0.000000,0.00
0.778889,-0.000000,1.00
0.781884,-0.000000,1.00
0.836151,-0.000000,0.00
0.835630,-0.000000,0.00
0.824989,-0.000000,0.00
0.621695,-0.000000,0.00
0.664012,-0.000000,0.00
0.714507,-0.000000,0.00
0.634092,-0.000000,0.00
0.587181,-0.000000,0.00
0.709594,-0.000000,0.00
0.653112,-0.000000,1.00
0.685983,-0.000000,0.00
0.675315,-0.000000,0.00
0.690745,-0.000000,0.00
0.705366,-0.000000,0.00
0.648795,-0.000000,0.00
0.706685,-0.000000,0.00
0.605051,-0.000000,0.00
0.712483,-0.000000,1.00
0.619845,-0.000000,0.00
0.610715,-0.000000,0.00
0.923453,-0.000000,0.00
0.877258,-0.000000,1.00
0.883944,-0.000000,0.00
0.911860,-0.000000,0.00
0.546045,-0.000000,0.00
0.540310,-0.000000,0.00
0.548907,-0.000000,0.00
0.560865,-0.000000,0.00
0.541110,-0.000000,0.00
0.540653,-0.000000,0.00
0.569345,-0.000000,0.00
0.563120,-0.000000,0.00
0.593360,-0.000000,0.00
0.567653,-0.000000,0.00
0.548011,-0.000000,0.00
0.548362,-0.000000,0.00
0.560232,-0.000000,0.00
0.547903,-0.000000,0.00
0.554243,-0.000000,0.00
0.574566,-0.000000,1.00
0.558521,-0.000000,0.00
0.540805,-0.000000,0.00
0.540681,-0.000000,0.00
0.999875,-0.000000,1.00
0.995688,-0.000000,1.00
0.966705,-0.000000,1.00
0.999816,-0.000000,0.00
0.997594,-0.000000,1.00
0.987572,-0.000000,0.00
0.992865,-0.000000,0.00
0.997594,-0.000000,1.00
0.992625,-0.000000,0.00
0.989815,-0.000000,0.00
0.986593,-0.000000,1.00
0.809254,-0.000000,1.00
0.799318,-0.000000,0.00
0.761554,-0.000000,0.00
0.781558,-0.000000,0.00
0.763086,-0.000000,1.00
0.834097,-0.000000,0.00
0.788342,-0.000000,0.00
0.844282,-0.000000,1.00
0.727538,-0.000000,0.00
0.881171,-0.000000,0.00
0.817968,-0.000000,0.00
0.789546,-0.000000,1.00
0.843928,-0.000000,0.00
0.857166,-0.000000,1.00
0.827707,-0.000000,0.00
0.819120,-0.000000,1.00
0.850159,-0.000000,0.00
0.783326,-0.000000,0.00
0.834513,-0.000000,0.00
0.803041,-0.000000,0.00
0.846491,-0.000000,0.00
0.876811,-0.000000,0.00
0.778099,-0.000000,1.00
0.767206,-0.000000,1.00
0.809904,-0.000000,0.00
0.734613,-0.000000,0.00
0.855963,-0.000000,0.00
0.797969,-0.000000,0.00
0.813452,-0.000000,0.00
0.852818,-0.000000,0.00
0.809880,-0.000000,0.00
0.817327,-0.000000,0.00
0.858072,-0.000000,0.00
0.812762,-0.000000,0.00
0.837443,-0.000000,0.00
0.802240,-0.000000,0.00
0.767977,-0.000000,1.00
0.778099,-0.000000,0.00
0.841457,-0.000000,0.00
0.855437,-0.000000,0.00
0.842833,-0.000000,0.00
0.859445,-0.000000,0.00
0.777511,-0.000000,0.00
