MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
9/9/2022,ΟΛΛ2,Χέρακλες Άλμελο,Φένλο,0,1,83,60.9037,0.6617,0.1879,0.1504,1,0,0,1.8773,0.6,1.2613,0
9/9/2022,ΙΡΛ1,Άθλοουν Τάουν,Γουέξφορντ Γιουθς,0,1,204,-70.2378,0.1708,0.2034,0.6259,1,0,0,0.9022,-0.4,1.8012,0
9/9/2022,ΣΑΡ,Αλ Ραέντ,Αλ Ιττιχάντ,1,1,103,-178.8063,0.2005,0.2338,0.5657,1,0,0,2.1369,-1,2.6829,0
9/9/2022,ΗΑΕ1,Αλ-Καλίχ Κορ Φακάν,Αλ Τζαζίρα,1,1,106,-212.871,0.1992,0.2138,0.587,1,0,0,0.4856,-0.7,1.3907,0
9/9/2022,ΓΕΡΛ,Βέρντερ Βρέμης Β',Λούμπεκ,1,1,17,3.8479,0.182,0.2307,0.5872,0,0,0,2.5835,-0.9,2.1311,0
9/9/2022,ΙΡΛΠ,Γιου Σι Ντι,Νταντάλκ,0,1,84,-72.4518,0.1518,0.2189,0.6293,0,0,0,1.1821,0,1.6832,0
9/9/2022,ΜΑΡΟ,Γιούνιον Τουάργκα,Ράζα Καζαμπλάνκα,0,1,27,-201.514,0.1232,0.2462,0.6306,2,0,0,1.0157,-0.2571,1.4157,0
9/9/2022,ΚΥΠ1,Καρμιώτισσα Πολεμιδιών,Ανόρθωση Αμμοχώστου,1,1,71,-38.3085,0.1452,0.2082,0.6466,0,0,0,1.3973,0.625,2.2026,0
9/9/2022,ΠΑΡΚ,Κλαμπ Dr Μπέντζαμιν Ασεβάλ,Αμελιάνο,1,1,314,-10.4075,0.0951,0.1618,0.7431,-1,0,0,6.6462,4.4,1.0989,0
9/9/2022,n/a,Κολόν,Πενιαρόλ,1,1,65,-124.3994,0.0519,0.1064,0.8417,0,1.5,0,0.8505,-0.2,0.916,1.5
9/9/2022,ΙΡΛ1,Κόμπ Ράμπλερς,Γκάλγουεϊ Γιουνάιτεντ,0,1,204,-166.2992,0.1061,0.1652,0.7286,1,0,0,0.5534,-1.4,1.6529,0
9/9/2022,ΗΑΕ1,Ντιμπά Αλ Φουζαϊράχ,Σχαμπάμπ Αλ Αχλί,1,1,106,-118.5753,0.1246,0.1956,0.6799,0,0,0,0.911,-0.3,0.9317,0
9/9/2022,ΙΡΛΠ,Ντροχέντα Γιουν.,Σεντ Πάτρικς Αθλέτικ,1,1,84,-146.96,0.1801,0.2237,0.5962,1,0,0,0.7913,-0.6,0.8609,0
9/9/2022,ΚΡΟ1,Σίμπενικ,Χάιντουκ,0,1,174,-154.5955,0.1448,0.2162,0.639,0,0,0,0.6792,-0.7,0.4348,0
9/9/2022,ΚΒΤΠ,Αλ Τανταμόν,Αλ Ζάχρα,0,1,111,-119.243,0.3628,0.2744,0.3628,0,0,0,0.5091,-0.5,1.0359,0
9/9/2022,ΑΥΣ2,Αντμίρα Βάκερ,Στουρμ Γκρατς Β',1,1,80,31.6431,0.4642,0.2398,0.296,-1,0,0,0.8942,0.2,0.6787,0
9/9/2022,ΑΥΣ2,Αούστρια Βιέννης Β',Βόργουορτς Στέιρ,0,1,80,-2.6511,0.413,0.2512,0.3358,0,0,0,0.8495,0.7,1.0407,0
9/9/2022,ΑΛΓ1,Αρμπάα,Μουλούντια Αλγκέρ,0,1,98,-79.9465,0.3573,0.3289,0.3138,0,0,0,2.0529,0.7,1.5493,0
9/9/2022,ΑΡΓ1,Αρχεντίνος Τζούνιορς,Ροζάριο Σέντραλ,0,1,15,52.1278,0.4679,0.3053,0.2268,0,0,0,0.6192,-0.4,0.5674,0
9/9/2022,ΚΟΛ2,Ατλέτικο Ουίλα,Ντεπ. Κουκούτα,0,1,182,-39.5806,0.3657,0.3049,0.3294,0,0,0,1.6427,0.5,1.3514,0
9/9/2022,ΒΟΛΒ,Ατλέτικο Παλμαφλόρ,Χόρχε Βίλστερμαν,0,1,29,-25.2869,0.367,0.2708,0.3622,-1,0,0,0.9736,0.2,0.922,0
9/9/2022,ΠΟΛ1,Βάρτα Πόζναν,Ζαγκλέμπιε Λούμπιν,0,1,55,19.1573,0.3825,0.2974,0.3201,0,0,0,1.4156,0.3,1.358,0
9/9/2022,ΓΑΛ3,Βερσαλίες 78,Ντάνκερκ,0,1,162,110.6134,0.3947,0.3026,0.3026,0,0,0,2.0071,0.6,1.5385,0
9/9/2022,ΠΟΡΤ,Γκιμαράες,Σάντα Κλάρα,0,1,119,-15.8455,0.4676,0.2893,0.2431,0,0,0,0.6837,-0.6,0.6612,0
